"ZIPCODE","CITY","COUNTY","ZIP_TYPE"
"10992","Washingtonville","Orange","Standard"
"10993","West Haverstraw","Rockland","Standard"
"10994","West Nyack","Rockland","Standard"
"10996","West Point","Orange","Standard"
"10997","West Point","Orange","P.O. Box"
"10998","Westtown","Orange","Standard"
"11001","Bellerose Village","Nassau","Standard"
"11001","Floral Park","Nassau","Standard"
"11001","South Floral Park","Nassau","Standard"
"11002","Floral Park","Nassau","P.O. Box"
"11003","Elmont","Nassau","Standard"
"11004","Glen Oaks","Queens","Standard"
"11005","Floral Park","Queens","Standard"
"11010","Franklin Square","Nassau","Standard"
"11020","Great Neck","Nassau","Standard"
"11021","Great Neck","Nassau","Standard"
"11022","Great Neck","Nassau","P.O. Box"
"11023","Great Neck","Nassau","Standard"
"11024","Great Neck","Nassau","Standard"
"11026","Great Neck","Nassau","P.O. Box"
"11027","Great Neck","Nassau","P.O. Box"
"11030","Manhasset","Nassau","Standard"
"11040","New Hyde Park","Nassau","Standard"
"11042","New Hyde Park","Nassau","Standard"
"11050","Port Washington","Nassau","Standard"
"11051","Port Washington","Nassau","Unique"
"11052","Port Washington","Nassau","Unique"
"11053","Port Washington","Nassau","Unique"
"11054","Port Washington","Nassau","Unique"
"11055","Port Washington","Nassau","Unique"
"11096","Inwood","Nassau","Standard"
"11101","Long Island City","Queens","Standard"
"11102","Astoria","Queens","Standard"
"11103","Astoria","Queens","Standard"
"11104","Sunnyside","Queens","Standard"
"11105","Astoria","Queens","Standard"
"11106","Astoria","Queens","Standard"
"11109","Long Island City","Queens","Standard"
"11120","Long Island City","Queens","Unique"
"11201","Brooklyn","Kings","Standard"
"11202","Brooklyn","Kings","P.O. Box"
"11203","Brooklyn","Kings","Standard"
"11204","Brooklyn","Kings","Standard"
"11205","Brooklyn","Kings","Standard"
"11206","Brooklyn","Kings","Standard"
"11207","Brooklyn","Kings","Standard"
"11208","Brooklyn","Kings","Standard"
"11209","Brooklyn","Kings","Standard"
"11210","Brooklyn","Kings","Standard"
"11211","Brooklyn","Kings","Standard"
"11212","Brooklyn","Kings","Standard"
"11213","Brooklyn","Kings","Standard"
"11214","Brooklyn","Kings","Standard"
"11215","Brooklyn","Kings","Standard"
"11216","Brooklyn","Kings","Standard"
"11217","Brooklyn","Kings","Standard"
"11218","Brooklyn","Kings","Standard"
"11219","Brooklyn","Kings","Standard"
"11220","Brooklyn","Kings","Standard"
"11221","Brooklyn","Kings","Standard"
"11222","Brooklyn","Kings","Standard"
"11223","Brooklyn","Kings","Standard"
"11224","Brooklyn","Kings","Standard"
"11225","Brooklyn","Kings","Standard"
"11226","Brooklyn","Kings","Standard"
"11228","Brooklyn","Kings","Standard"
"11229","Brooklyn","Kings","Standard"
"11230","Brooklyn","Kings","Standard"
"11231","Brooklyn","Kings","Standard"
"11232","Brooklyn","Kings","Standard"
"11233","Brooklyn","Kings","Standard"
"11234","Brooklyn","Kings","Standard"
"11235","Brooklyn","Kings","Standard"
"11236","Brooklyn","Kings","Standard"
"11237","Brooklyn","Kings","Standard"
"11238","Brooklyn","Kings","Standard"
"11239","Brooklyn","Kings","Standard"
"11241","Brooklyn","Kings","Standard"
"11242","Brooklyn","Kings","Standard"
"11243","Brooklyn","Kings","Standard"
"11245","Brooklyn","Kings","Unique"
"11247","Brooklyn","Kings","P.O. Box"
"11249","Brooklyn","Kings","Standard"
"11251","Brooklyn","Kings","Unique"
"11252","Brooklyn","Kings","Standard"
"11256","Brooklyn","Kings","Standard"
"11351","Flushing","Queens","Standard"
"11352","Flushing","Queens","P.O. Box"
"11354","Flushing","Queens","Standard"
"11355","Flushing","Queens","Standard"
"11356","College Point","Queens","Standard"
"11357","Whitestone","Queens","Standard"
"11358","Flushing","Queens","Standard"
"11359","Bayside","Queens","Standard"
"11360","Bayside","Queens","Standard"
"11361","Bayside","Queens","Standard"
"11362","Little Neck","Queens","Standard"
"11363","Little Neck","Queens","Standard"
"11364","Oakland Gardens","Queens","Standard"
"11365","Fresh Meadows","Queens","Standard"
"11366","Fresh Meadows","Queens","Standard"
"11367","Flushing","Queens","Standard"
"11368","Corona","Queens","Standard"
"11369","East Elmhurst","Queens","Standard"
"11370","East Elmhurst","Queens","Standard"
"11371","Flushing","Queens","Standard"
"11372","Jackson Heights","Queens","Standard"
"11373","Elmhurst","Queens","Standard"
"11374","Rego Park","Queens","Standard"
"11375","Forest Hills","Queens","Standard"
"11377","Woodside","Queens","Standard"
"11378","Maspeth","Queens","Standard"
"11379","Middle Village","Queens","Standard"
"11380","Elmhurst","Queens","P.O. Box"
"11381","Flushing","Queens","Unique"
"11385","Ridgewood","Queens","Standard"
"11386","Ridgewood","Queens","P.O. Box"
"11405","Jamaica","Queens","Unique"
"11411","Cambria Heights","Queens","Standard"
"11412","Saint Albans","Queens","Standard"
"11413","Springfield Gardens","Queens","Standard"
"11414","Howard Beach","Queens","Standard"
"11415","Kew Gardens","Queens","Standard"
"11416","Ozone Park","Queens","Standard"
"11417","Ozone Park","Queens","Standard"
"11418","Richmond Hill","Queens","Standard"
"11419","South Richmond Hill","Queens","Standard"
"11420","South Ozone Park","Queens","Standard"
"11421","Woodhaven","Queens","Standard"
"11422","Rosedale","Queens","Standard"
"11423","Hollis","Queens","Standard"
"11424","Jamaica","Queens","P.O. Box"
"11425","Jamaica","Queens","Unique"
"11426","Bellerose","Queens","Standard"
"11427","Queens Village","Queens","Standard"
"11428","Queens Village","Queens","Standard"
"11429","Queens Village","Queens","Standard"
"11430","Jamaica","Queens","Standard"
"11431","Jamaica","Queens","P.O. Box"
"11432","Jamaica","Queens","Standard"
"11433","Jamaica","Queens","Standard"
"11434","Jamaica","Queens","Standard"
"11435","Jamaica","Queens","Standard"
"11436","Jamaica","Queens","Standard"
"11437","Jamaica","Queens","Unique"
"11439","Jamaica","Queens","Unique"
"11451","Jamaica","Queens","Unique"
"11499","Jamaica","Queens","Unique"
"11501","Mineola","Nassau","Standard"
"11507","Albertson","Nassau","Standard"
"11509","Atlantic Beach","Nassau","Standard"
"11510","Baldwin","Nassau","Standard"
"11514","Carle Place","Nassau","Standard"
"11516","Cedarhurst","Nassau","Standard"
"11518","East Rockaway","Nassau","Standard"
"11520","Freeport","Nassau","Standard"
"11530","Garden City","Nassau","Standard"
"11531","Garden City","Nassau","P.O. Box"
"11542","Glen Cove","Nassau","Standard"
"11545","Glen Head","Nassau","Standard"
"11547","Glenwood Landing","Nassau","P.O. Box"
"11548","Greenvale","Nassau","Standard"
"11549","Hempstead","Nassau","Unique"
"11550","Hempstead","Nassau","Standard"
"11551","Hempstead","Nassau","P.O. Box"
"11552","West Hempstead","Nassau","Standard"
"11553","Uniondale","Nassau","Standard"
"11554","East Meadow","Nassau","Standard"
"11555","Uniondale","Nassau","Unique"
"11556","Uniondale","Nassau","Standard"
"11557","Hewlett","Nassau","Standard"
"11558","Island Park","Nassau","Standard"
"11559","Lawrence","Nassau","Standard"
"11560","Locust Valley","Nassau","Standard"
"11561","Long Beach","Nassau","Standard"
"11563","Lynbrook","Nassau","Standard"
"11565","Malverne","Nassau","Standard"
"11566","Merrick","Nassau","Standard"
"11568","Old Westbury","Nassau","Standard"
"11569","Point Lookout","Nassau","P.O. Box"
"11570","Rockville Centre","Nassau","Standard"
"11571","Rockville Centre","Nassau","P.O. Box"
"11572","Oceanside","Nassau","Standard"
"11575","Roosevelt","Nassau","Standard"
"11576","Roslyn","Nassau","Standard"
"11577","Roslyn Heights","Nassau","Standard"
"11579","Sea Cliff","Nassau","Standard"
"11580","Valley Stream","Nassau","Standard"
"11581","Valley Stream","Nassau","Standard"
"11582","Valley Stream","Nassau","P.O. Box"
"11590","Westbury","Nassau","Standard"
"11596","Williston Park","Nassau","Standard"
"11598","Woodmere","Nassau","Standard"
"11599","Garden City","Nassau","Standard"
"11690","Far Rockaway","Queens","P.O. Box"
"11691","Far Rockaway","Queens","Standard"
"11692","Arverne","Queens","Standard"
"11693","Far Rockaway","Queens","Standard"
"11694","Rockaway Park","Queens","Standard"
"11695","Far Rockaway","Queens","P.O. Box"
"11697","Breezy Point","Queens","Standard"
"11701","Amityville","Suffolk","Standard"
"11702","Babylon","Suffolk","Standard"
"11703","North Babylon","Suffolk","Standard"
"11704","West Babylon","Suffolk","Standard"
"11705","Bayport","Suffolk","Standard"
"11706","Bay Shore","Suffolk","Standard"
"11707","West Babylon","Suffolk","P.O. Box"
"11709","Bayville","Nassau","Standard"
"11710","Bellmore","Nassau","Standard"
"11713","Bellport","Suffolk","Standard"
"11714","Bethpage","Nassau","Standard"
"11715","Blue Point","Suffolk","Standard"
"11716","Bohemia","Suffolk","Standard"
"11717","Brentwood","Suffolk","Standard"
"11718","Brightwaters","Suffolk","Standard"
"11719","Brookhaven","Suffolk","Standard"
"11720","Centereach","Suffolk","Standard"
"11721","Centerport","Suffolk","Standard"
"11722","Central Islip","Suffolk","Standard"
"11724","Cold Spring Harbor","Suffolk","Standard"
"11725","Commack","Suffolk","Standard"
"11726","Copiague","Suffolk","Standard"
"11727","Coram","Suffolk","Standard"
"11729","Deer Park","Suffolk","Standard"
"11730","East Islip","Suffolk","Standard"
"11731","East Northport","Suffolk","Standard"
"11732","East Norwich","Nassau","Standard"
"11733","East Setauket","Suffolk","Standard"
"11735","Farmingdale","Nassau","Standard"
"12844","Kattskill Bay","Warren","Standard"
"12845","Lake George","Warren","Standard"
"12846","Lake Luzerne","Warren","Standard"
"12847","Long Lake","Hamilton","Standard"
"12848","Middle Falls","Washington","P.O. Box"
"12849","Middle Granville","Washington","Standard"
"12850","Middle Grove","Saratoga","Standard"
"12851","Minerva","Essex","Standard"
"12852","Newcomb","Essex","Standard"
"12853","North Creek","Warren","Standard"
"12854","North Granville","Washington","Standard"
"12855","North Hudson","Essex","Standard"
"12856","North River","Warren","P.O. Box"
"12857","Olmstedville","Essex","Standard"
"12858","Paradox","Essex","Standard"
"12859","Porter Corners","Saratoga","Standard"
"12860","Pottersville","Warren","Standard"
"12861","Putnam Station","Washington","Standard"
"12862","Riparius","Warren","P.O. Box"
"12863","Rock City Falls","Saratoga","Standard"
"12864","Sabael","Hamilton","Standard"
"12865","Salem","Washington","Standard"
"12866","Saratoga Springs","Saratoga","Standard"
"12870","Schroon Lake","Essex","Standard"
"12871","Schuylerville","Saratoga","Standard"
"12872","Severance","Essex","P.O. Box"
"12873","Shushan","Washington","Standard"
"12874","Silver Bay","Warren","Standard"
"12878","Stony Creek","Warren","Standard"
"12879","Newcomb","Essex","Standard"
"12883","Ticonderoga","Essex","Standard"
"12884","Victory Mills","Saratoga","P.O. Box"
"12885","Warrensburg","Warren","Standard"
"12886","Wevertown","Warren","Standard"
"12887","Whitehall","Washington","Standard"
"12901","Plattsburgh","Clinton","Standard"
"12903","Plattsburgh","Clinton","Standard"
"12910","Altona","Clinton","Standard"
"12911","Keeseville","Clinton","Standard"
"12912","Au Sable Forks","Clinton","Standard"
"12913","Bloomingdale","Essex","Standard"
"12914","Bombay","Franklin","Standard"
"12915","Brainardsville","Franklin","P.O. Box"
"12916","Brushton","Franklin","Standard"
"12917","Burke","Franklin","Standard"
"12918","Cadyville","Clinton","Standard"
"12919","Champlain","Clinton","Standard"
"12920","Chateaugay","Franklin","Standard"
"12921","Chazy","Clinton","Standard"
"12922","Childwold","Saint Lawrence","Standard"
"12923","Churubusco","Clinton","Standard"
"12924","Keeseville","Clinton","Standard"
"12926","Constable","Franklin","Standard"
"12927","Cranberry Lake","Saint Lawrence","P.O. Box"
"12928","Crown Point","Essex","Standard"
"12929","Dannemora","Clinton","P.O. Box"
"12930","Dickinson Center","Franklin","Standard"
"12932","Elizabethtown","Essex","Standard"
"12933","Ellenburg","Clinton","P.O. Box"
"12934","Ellenburg Center","Clinton","Standard"
"12935","Ellenburg Depot","Clinton","Standard"
"12936","Essex","Essex","Standard"
"12937","Fort Covington","Franklin","Standard"
"12939","Gabriels","Franklin","P.O. Box"
"12941","Jay","Essex","Standard"
"12942","Keene","Essex","Standard"
"12943","Keene Valley","Essex","Standard"
"12944","Keeseville","Clinton","Standard"
"12945","Lake Clear","Franklin","Standard"
"12946","Lake Placid","Essex","Standard"
"12949","Lawrenceville","Saint Lawrence","Standard"
"12950","Lewis","Essex","Standard"
"12952","Lyon Mountain","Clinton","Standard"
"12953","Malone","Franklin","Standard"
"12955","Lyon Mountain","Clinton","Standard"
"12956","Mineville","Essex","Standard"
"12957","Moira","Franklin","Standard"
"12958","Mooers","Clinton","Standard"
"12959","Mooers Forks","Clinton","Standard"
"12960","Moriah","Essex","Standard"
"12961","Moriah Center","Essex","Standard"
"12962","Morrisonville","Clinton","Standard"
"12964","New Russia","Essex","Standard"
"12965","Nicholville","Saint Lawrence","Standard"
"12966","North Bangor","Franklin","Standard"
"12967","North Lawrence","Saint Lawrence","Standard"
"12969","Owls Head","Franklin","Standard"
"12970","Paul Smiths","Franklin","Standard"
"12972","Peru","Clinton","Standard"
"12973","Piercefield","Saint Lawrence","P.O. Box"
"12974","Port Henry","Essex","Standard"
"12975","Port Kent","Essex","P.O. Box"
"12976","Rainbow Lake","Franklin","P.O. Box"
"12977","Ray Brook","Essex","P.O. Box"
"12978","Redford","Clinton","Standard"
"12979","Rouses Point","Clinton","Standard"
"12980","Saint Regis Falls","Franklin","Standard"
"12981","Saranac","Clinton","Standard"
"12983","Saranac Lake","Franklin","Standard"
"12985","Schuyler Falls","Clinton","Standard"
"12986","Tupper Lake","Franklin","Standard"
"12987","Upper Jay","Essex","Standard"
"12989","Vermontville","Franklin","Standard"
"12992","West Chazy","Clinton","Standard"
"12993","Westport","Essex","Standard"
"12995","Whippleville","Franklin","P.O. Box"
"12996","Willsboro","Essex","Standard"
"12997","Wilmington","Essex","Standard"
"12998","Witherbee","Essex","Standard"
"13020","Apulia Station","Onondaga","P.O. Box"
"13021","Auburn","Cayuga","Standard"
"13022","Auburn","Cayuga","P.O. Box"
"13024","Auburn","Cayuga","Unique"
"13026","Aurora","Cayuga","Standard"
"13027","Baldwinsville","Onondaga","Standard"
"13028","Bernhards Bay","Oswego","Standard"
"13029","Brewerton","Onondaga","Standard"
"13030","Bridgeport","Onondaga","Standard"
"13031","Camillus","Onondaga","Standard"
"13032","Canastota","Madison","Standard"
"13033","Cato","Cayuga","Standard"
"13034","Cayuga","Cayuga","Standard"
"13035","Cazenovia","Madison","Standard"
"13036","Central Square","Oswego","Standard"
"13037","Chittenango","Madison","Standard"
"13039","Cicero","Onondaga","Standard"
"13040","Cincinnatus","Cortland","Standard"
"13041","Clay","Onondaga","Standard"
"13042","Cleveland","Oswego","Standard"
"13043","Clockville","Madison","P.O. Box"
"13044","Constantia","Oswego","Standard"
"13045","Cortland","Cortland","Standard"
"13051","Delphi Falls","Onondaga","P.O. Box"
"13052","De Ruyter","Madison","Standard"
"13053","Dryden","Tompkins","Standard"
"13054","Durhamville","Oneida","Standard"
"13056","East Homer","Cortland","P.O. Box"
"13057","East Syracuse","Onondaga","Standard"
"13060","Elbridge","Onondaga","Standard"
"13061","Erieville","Madison","Standard"
"13062","Etna","Tompkins","P.O. Box"
"13063","Fabius","Onondaga","Standard"
"13064","Fair Haven","Cayuga","P.O. Box"
"13065","Fayette","Seneca","P.O. Box"
"13066","Fayetteville","Onondaga","Standard"
"13068","Freeville","Tompkins","Standard"
"13069","Fulton","Oswego","Standard"
"13071","Genoa","Cayuga","Standard"
"13072","Georgetown","Madison","Standard"
"13073","Groton","Tompkins","Standard"
"13074","Hannibal","Oswego","Standard"
"13076","Hastings","Oswego","Standard"
"13077","Homer","Cortland","Standard"
"13078","Jamesville","Onondaga","Standard"
"13080","Jordan","Onondaga","Standard"
"13081","King Ferry","Cayuga","Standard"
"13082","Kirkville","Onondaga","Standard"
"13083","Lacona","Oswego","Standard"
"13084","La Fayette","Onondaga","Standard"
"13087","Little York","Cortland","P.O. Box"
"13088","Liverpool","Onondaga","Standard"
"13089","Liverpool","Onondaga","P.O. Box"
"13090","Liverpool","Onondaga","Standard"
"13092","Locke","Cayuga","Standard"
"13093","Lycoming","Oswego","P.O. Box"
"13101","Mc Graw","Cortland","Standard"
"13102","Mc Lean","Tompkins","P.O. Box"
"13103","Mallory","Oswego","Standard"
"13104","Manlius","Onondaga","Standard"
"13107","Maple View","Oswego","P.O. Box"
"13108","Marcellus","Onondaga","Standard"
"13110","Marietta","Onondaga","Standard"
"13111","Martville","Cayuga","Standard"
"13112","Memphis","Onondaga","Standard"
"13113","Meridian","Cayuga","P.O. Box"
"13114","Mexico","Oswego","Standard"
"13115","Minetto","Oswego","P.O. Box"
"13116","Minoa","Onondaga","Standard"
"13117","Montezuma","Cayuga","P.O. Box"
"13118","Moravia","Cayuga","Standard"
"13119","Mottville","Onondaga","P.O. Box"
"13120","Nedrow","Onondaga","Standard"
"13121","New Haven","Oswego","P.O. Box"
"13122","New Woodstock","Madison","Standard"
"13123","North Bay","Oneida","P.O. Box"
"13124","North Pitcher","Chenango","Standard"
"13126","Oswego","Oswego","Standard"
"13131","Parish","Oswego","Standard"
"13132","Pennellville","Oswego","Standard"
"13134","Peterboro","Madison","P.O. Box"
"13135","Phoenix","Oswego","Standard"
"13136","Pitcher","Chenango","Standard"
"13137","Plainville","Onondaga","P.O. Box"
"13138","Pompey","Onondaga","P.O. Box"
"13139","Poplar Ridge","Cayuga","P.O. Box"
"13140","Port Byron","Cayuga","Standard"
"13141","Preble","Cortland","Standard"
"13142","Pulaski","Oswego","Standard"
"13143","Red Creek","Wayne","Standard"
"13144","Richland","Oswego","Standard"
"13145","Sandy Creek","Oswego","Standard"
"13146","Savannah","Wayne","Standard"
"13147","Scipio Center","Cayuga","Standard"
"13148","Seneca Falls","Seneca","Standard"
"13152","Skaneateles","Onondaga","Standard"
"13153","Skaneateles Falls","Onondaga","P.O. Box"
"13154","South Butler","Wayne","P.O. Box"
"13155","South Otselic","Chenango","Standard"
"13156","Sterling","Cayuga","Standard"
"13157","Sylvan Beach","Oneida","P.O. Box"
"13158","Truxton","Cortland","Standard"
"13159","Tully","Onondaga","Standard"
"13160","Union Springs","Cayuga","Standard"
"13162","Verona Beach","Oneida","P.O. Box"
"13163","Wampsville","Madison","P.O. Box"
"13164","Warners","Onondaga","Standard"
"13165","Waterloo","Seneca","Standard"
"13166","Weedsport","Cayuga","Standard"
"13167","West Monroe","Oswego","Standard"
"13201","Syracuse","Onondaga","P.O. Box"
"13202","Syracuse","Onondaga","Standard"
"13203","Syracuse","Onondaga","Standard"
"13204","Syracuse","Onondaga","Standard"
"13205","Syracuse","Onondaga","Standard"
"13206","Syracuse","Onondaga","Standard"
"13207","Syracuse","Onondaga","Standard"
"13208","Syracuse","Onondaga","Standard"
"13209","Syracuse","Onondaga","Standard"
"13210","Syracuse","Onondaga","Standard"
"13211","Syracuse","Onondaga","Standard"
"13212","Syracuse","Onondaga","Standard"
"13214","Syracuse","Onondaga","Standard"
"13215","Syracuse","Onondaga","Standard"
"13217","Syracuse","Onondaga","P.O. Box"
"13218","Syracuse","Onondaga","P.O. Box"
"13219","Syracuse","Onondaga","Standard"
"13220","Syracuse","Onondaga","P.O. Box"
"13221","Syracuse","Onondaga","P.O. Box"
"13224","Syracuse","Onondaga","Standard"
"13225","Syracuse","Onondaga","Unique"
"13235","Syracuse","Onondaga","P.O. Box"
"13244","Syracuse","Onondaga","Unique"
"13250","Syracuse","Onondaga","Unique"
"13251","Syracuse","Onondaga","Unique"
"13252","Syracuse","Onondaga","Unique"
"13261","Syracuse","Onondaga","P.O. Box"
"13290","Syracuse","Onondaga","P.O. Box"
"13301","Alder Creek","Oneida","Standard"
"13302","Altmar","Oswego","Standard"
"13303","Ava","Oneida","Standard"
"13304","Barneveld","Oneida","Standard"
"13305","Beaver Falls","Lewis","P.O. Box"
"13308","Blossvale","Oneida","Standard"
"13309","Boonville","Oneida","Standard"
"13310","Bouckville","Madison","Standard"
"13312","Brantingham","Lewis","P.O. Box"
"13313","Bridgewater","Oneida","P.O. Box"
"13314","Brookfield","Madison","Standard"
"13315","Burlington Flats","Otsego","Standard"
"13316","Camden","Oneida","Standard"
"13317","Canajoharie","Montgomery","Standard"
"13318","Cassville","Oneida","Standard"
"13319","Chadwicks","Oneida","Standard"
"13320","Cherry Valley","Otsego","Standard"
"13321","Clark Mills","Oneida","P.O. Box"
"13322","Clayville","Oneida","Standard"
"13323","Clinton","Oneida","Standard"
"13324","Cold Brook","Herkimer","Standard"
"13325","Constableville","Lewis","Standard"
"13326","Cooperstown","Otsego","Standard"
"13327","Croghan","Lewis","Standard"
"13328","Deansboro","Oneida","Standard"
"13329","Dolgeville","Herkimer","Standard"
"13331","Eagle Bay","Herkimer","Standard"
"13332","Earlville","Chenango","Standard"
"13333","East Springfield","Otsego","Standard"
"13334","Eaton","Madison","Standard"
"13335","Edmeston","Otsego","Standard"
"13337","Fly Creek","Otsego","Standard"
"13338","Forestport","Oneida","Standard"
"13339","Fort Plain","Montgomery","Standard"
"13340","Frankfort","Herkimer","Standard"
"13341","Franklin Springs","Oneida","P.O. Box"
"13342","Garrattsville","Otsego","Standard"
"13343","Glenfield","Lewis","Standard"
"13345","Greig","Lewis","Standard"
"13346","Hamilton","Madison","Standard"
"13348","Hartwick","Otsego","Standard"
"13350","Herkimer","Herkimer","Standard"
"13352","Hinckley","Oneida","P.O. Box"
"13353","Hoffmeister","Hamilton","P.O. Box"
"13354","Holland Patent","Oneida","Standard"
"13355","Hubbardsville","Madison","Standard"
"13357","Ilion","Herkimer","Standard"
"13360","Inlet","Hamilton","Standard"
"13361","Jordanville","Herkimer","Standard"
"13362","Knoxboro","Oneida","P.O. Box"
"13363","Lee Center","Oneida","Standard"
"13364","Leonardsville","Madison","P.O. Box"
"13365","Little Falls","Herkimer","Standard"
"13367","Lowville","Lewis","Standard"
"13368","Lyons Falls","Lewis","Standard"
"13401","Mc Connellsville","Oneida","P.O. Box"
"13402","Madison","Madison","Standard"
"13403","Marcy","Oneida","Standard"
"13404","Martinsburg","Lewis","P.O. Box"
"13406","Middleville","Herkimer","Standard"
"13407","Mohawk","Herkimer","Standard"
"13408","Morrisville","Madison","Standard"
"13409","Munnsville","Madison","Standard"
"13410","Nelliston","Montgomery","P.O. Box"
"13411","New Berlin","Chenango","Standard"
"13413","New Hartford","Oneida","Standard"
"13415","New Lisbon","Otsego","Standard"
"13416","Newport","Herkimer","Standard"
"13417","New York Mills","Oneida","Standard"
"13418","North Brookfield","Madison","Standard"
"13420","Old Forge","Herkimer","Standard"
"13421","Oneida","Madison","Standard"
"13424","Oriskany","Oneida","Standard"
"13425","Oriskany Falls","Oneida","Standard"
"13426","Orwell","Oswego","P.O. Box"
"13428","Palatine Bridge","Montgomery","Standard"
"13431","Poland","Herkimer","Standard"
"13433","Port Leyden","Lewis","Standard"
"13435","Prospect","Oneida","P.O. Box"
"13436","Raquette Lake","Hamilton","Standard"
"13437","Redfield","Oswego","Standard"
"13438","Remsen","Oneida","Standard"
"13439","Richfield Springs","Otsego","Standard"
"13440","Rome","Oneida","Standard"
"13441","Rome","Oneida","Standard"
"13442","Rome","Oneida","P.O. Box"
"13449","Rome","Oneida","Unique"
"13450","Roseboom","Otsego","Standard"
"13452","Saint Johnsville","Montgomery","Standard"
"13454","Salisbury Center","Herkimer","Standard"
"13455","Sangerfield","Oneida","P.O. Box"
"13456","Sauquoit","Oneida","Standard"
"13457","Schuyler Lake","Otsego","P.O. Box"
"13459","Sharon Springs","Schoharie","Standard"
"13460","Sherburne","Chenango","Standard"
"13461","Sherrill","Oneida","Standard"
"13464","Smyrna","Chenango","Standard"
"13465","Solsville","Madison","Standard"
"13468","Springfield Center","Otsego","Standard"
"13469","Stittville","Oneida","Standard"
"13470","Stratford","Fulton","Standard"
"13471","Taberg","Oneida","Standard"
"13472","Thendara","Herkimer","P.O. Box"
"13473","Turin","Lewis","Standard"
"13475","Van Hornesville","Herkimer","Standard"
"13476","Vernon","Oneida","Standard"
"13477","Vernon Center","Oneida","Standard"
"13478","Verona","Oneida","Standard"
"13479","Washington Mills","Oneida","P.O. Box"
"13480","Waterville","Oneida","Standard"
"13482","West Burlington","Otsego","Standard"
"13483","Westdale","Oneida","Standard"
"13484","West Eaton","Madison","P.O. Box"
"13485","West Edmeston","Madison","Standard"
"13486","Westernville","Oneida","Standard"
"13488","Westford","Otsego","Standard"
"13489","West Leyden","Lewis","Standard"
"13490","Westmoreland","Oneida","Standard"
"13491","West Winfield","Herkimer","Standard"
"13492","Whitesboro","Oneida","Standard"
"13493","Williamstown","Oswego","Standard"
"13494","Woodgate","Oneida","Standard"
"13495","Yorkville","Oneida","Standard"
"13501","Utica","Oneida","Standard"
"13502","Utica","Oneida","Standard"
"13503","Utica","Oneida","P.O. Box"
"13504","Utica","Oneida","P.O. Box"
"13505","Utica","Oneida","P.O. Box"
"13599","Utica","Oneida","Unique"
"13601","Watertown","Jefferson","Standard"
"13602","Fort Drum","Jefferson","Standard"
"13902","Binghamton","Broome","P.O. Box"
"13903","Binghamton","Broome","Standard"
"13904","Binghamton","Broome","Standard"
"13905","Binghamton","Broome","Standard"
"14001","Akron","Erie","Standard"
"14004","Alden","Erie","Standard"
"14005","Alexander","Genesee","Standard"
"14006","Angola","Erie","Standard"
"14008","Appleton","Niagara","Standard"
"14009","Arcade","Wyoming","Standard"
"14010","Athol Springs","Erie","P.O. Box"
"14011","Attica","Wyoming","Standard"
"14012","Barker","Niagara","Standard"
"14013","Basom","Genesee","Standard"
"14020","Batavia","Genesee","Standard"
"14021","Batavia","Genesee","P.O. Box"
"14024","Bliss","Wyoming","Standard"
"14025","Boston","Erie","Standard"
"14026","Bowmansville","Erie","Standard"
"14027","Brant","Erie","P.O. Box"
"14028","Burt","Niagara","Standard"
"14029","Centerville","Allegany","P.O. Box"
"14030","Chaffee","Erie","Standard"
"14031","Clarence","Erie","Standard"
"14032","Clarence Center","Erie","Standard"
"14033","Colden","Erie","Standard"
"14034","Collins","Erie","Standard"
"14035","Collins Center","Erie","P.O. Box"
"14036","Corfu","Genesee","Standard"
"14037","Cowlesville","Wyoming","Standard"
"14038","Crittenden","Erie","P.O. Box"
"14039","Dale","Wyoming","Standard"
"14040","Darien Center","Genesee","Standard"
"14041","Dayton","Cattaraugus","Standard"
"14042","Delevan","Cattaraugus","Standard"
"14043","Depew","Erie","Standard"
"14047","Derby","Erie","Standard"
"14048","Dunkirk","Chautauqua","Standard"
"14051","East Amherst","Erie","Standard"
"14052","East Aurora","Erie","Standard"
"14054","East Bethany","Genesee","Standard"
"14055","East Concord","Erie","Standard"
"14056","East Pembroke","Genesee","P.O. Box"
"14057","Eden","Erie","Standard"
"14058","Elba","Genesee","Standard"
"14059","Elma","Erie","Standard"
"14060","Farmersville Station","Cattaraugus","Standard"
"14061","Farnham","Erie","P.O. Box"
"14062","Forestville","Chautauqua","Standard"
"14063","Fredonia","Chautauqua","Standard"
"14065","Freedom","Cattaraugus","Standard"
"14066","Gainesville","Wyoming","Standard"
"14067","Gasport","Niagara","Standard"
"14068","Getzville","Erie","Standard"
"14069","Glenwood","Erie","Standard"
"14070","Gowanda","Cattaraugus","Standard"
"14072","Grand Island","Erie","Standard"
"14075","Hamburg","Erie","Standard"
"14080","Holland","Erie","Standard"
"14081","Irving","Chautauqua","Standard"
"14082","Java Center","Wyoming","Standard"
"14083","Java Village","Wyoming","Standard"
"14085","Lake View","Erie","Standard"
"14086","Lancaster","Erie","Standard"
"14091","Lawtons","Erie","Standard"
"14092","Lewiston","Niagara","Standard"
"14094","Lockport","Niagara","Standard"
"14095","Lockport","Niagara","P.O. Box"
"14098","Lyndonville","Orleans","Standard"
"14101","Machias","Cattaraugus","Standard"
"14102","Marilla","Erie","Standard"
"14103","Medina","Orleans","Standard"
"14105","Middleport","Niagara","Standard"
"14107","Model City","Niagara","P.O. Box"
