"ZIPCODE","CITY","COUNTY","ZIP_TYPE"
"12064","East Worcester","Otsego","Standard"
"12065","Clifton Park","Saratoga","Standard"
"12066","Esperance","Montgomery","Standard"
"12067","Feura Bush","Albany","Standard"
"12068","Fonda","Montgomery","Standard"
"12069","Fort Hunter","Montgomery","P.O. Box"
"12070","Fort Johnson","Montgomery","Standard"
"12071","Fultonham","Schoharie","Standard"
"12072","Fultonville","Montgomery","Standard"
"12073","Gallupville","Schoharie","P.O. Box"
"12074","Galway","Saratoga","Standard"
"12075","Ghent","Columbia","Standard"
"12076","Gilboa","Schoharie","Standard"
"12077","Glenmont","Albany","Standard"
"12078","Gloversville","Fulton","Standard"
"12082","Grafton","Rensselaer","P.O. Box"
"12083","Greenville","Greene","Standard"
"12084","Guilderland","Albany","Standard"
"12085","Guilderland Center","Albany","Standard"
"12086","Hagaman","Montgomery","Standard"
"12087","Hannacroix","Greene","Standard"
"12089","Hoosick","Rensselaer","P.O. Box"
"12090","Hoosick Falls","Rensselaer","Standard"
"12092","Howes Cave","Schoharie","Standard"
"12093","Jefferson","Schoharie","Standard"
"12094","Johnsonville","Rensselaer","Standard"
"12095","Johnstown","Fulton","Standard"
"12106","Kinderhook","Columbia","Standard"
"12107","Knox","Albany","P.O. Box"
"12108","Lake Pleasant","Hamilton","Standard"
"12110","Latham","Albany","Standard"
"12115","Malden Bridge","Columbia","Standard"
"12116","Maryland","Otsego","Standard"
"12117","Mayfield","Fulton","Standard"
"12118","Mechanicville","Saratoga","Standard"
"12120","Medusa","Albany","Standard"
"12121","Melrose","Rensselaer","Standard"
"12122","Middleburgh","Schoharie","Standard"
"12123","Nassau","Rensselaer","Standard"
"12124","New Baltimore","Greene","P.O. Box"
"12125","New Lebanon","Columbia","Standard"
"12128","Newtonville","Albany","P.O. Box"
"12130","Niverville","Columbia","Standard"
"12131","North Blenheim","Schoharie","Standard"
"12132","North Chatham","Columbia","P.O. Box"
"12133","North Hoosick","Rensselaer","P.O. Box"
"12134","Northville","Fulton","Standard"
"12136","Old Chatham","Columbia","Standard"
"12137","Pattersonville","Schenectady","Standard"
"12138","Petersburg","Rensselaer","Standard"
"12139","Piseco","Hamilton","Standard"
"12140","Poestenkill","Rensselaer","Standard"
"12141","Quaker Street","Schenectady","P.O. Box"
"12143","Ravena","Albany","Standard"
"12144","Rensselaer","Rensselaer","Standard"
"12147","Rensselaerville","Albany","Standard"
"12148","Rexford","Saratoga","Standard"
"12149","Richmondville","Schoharie","Standard"
"12150","Rotterdam Junction","Schenectady","Standard"
"12151","Round Lake","Saratoga","Standard"
"12153","Sand Lake","Rensselaer","Standard"
"12154","Schaghticoke","Rensselaer","Standard"
"12155","Schenevus","Otsego","Standard"
"12156","Schodack Landing","Rensselaer","Standard"
"12157","Schoharie","Schoharie","Standard"
"12158","Selkirk","Albany","Standard"
"12159","Slingerlands","Albany","Standard"
"12160","Sloansville","Schoharie","Standard"
"12161","South Bethlehem","Albany","P.O. Box"
"12164","Speculator","Hamilton","Standard"
"12165","Spencertown","Columbia","Standard"
"12166","Sprakers","Montgomery","Standard"
"12167","Stamford","Delaware","Standard"
"12168","Stephentown","Rensselaer","Standard"
"12169","Stephentown","Rensselaer","Standard"
"12170","Stillwater","Saratoga","Standard"
"12172","Stottville","Columbia","P.O. Box"
"12173","Stuyvesant","Columbia","Standard"
"12174","Stuyvesant Falls","Columbia","P.O. Box"
"12175","Summit","Schoharie","Standard"
"12176","Surprise","Greene","Standard"
"12177","Tribes Hill","Montgomery","P.O. Box"
"12180","Troy","Rensselaer","Standard"
"12181","Troy","Rensselaer","P.O. Box"
"12182","Troy","Rensselaer","Standard"
"12183","Troy","Albany","Standard"
"12184","Valatie","Columbia","Standard"
"12185","Valley Falls","Rensselaer","Standard"
"12186","Voorheesville","Albany","Standard"
"12187","Warnerville","Schoharie","Standard"
"12188","Waterford","Saratoga","Standard"
"12189","Watervliet","Albany","Standard"
"12190","Wells","Hamilton","Standard"
"12192","West Coxsackie","Greene","Standard"
"12193","Westerlo","Albany","Standard"
"12194","West Fulton","Schoharie","Standard"
"12195","West Lebanon","Columbia","P.O. Box"
"12196","West Sand Lake","Rensselaer","Standard"
"12197","Worcester","Otsego","Standard"
"12198","Wynantskill","Rensselaer","Standard"
"12201","Albany","Albany","P.O. Box"
"12202","Albany","Albany","Standard"
"12203","Albany","Albany","Standard"
"12204","Albany","Albany","Standard"
"12205","Albany","Albany","Standard"
"12206","Albany","Albany","Standard"
"12207","Albany","Albany","Standard"
"12208","Albany","Albany","Standard"
"12209","Albany","Albany","Standard"
"12210","Albany","Albany","Standard"
"12211","Albany","Albany","Standard"
"12212","Albany","Albany","P.O. Box"
"12214","Albany","Albany","Unique"
"12220","Albany","Albany","P.O. Box"
"12222","Albany","Albany","Unique"
"12223","Albany","Albany","Standard"
"12224","Albany","Albany","P.O. Box"
"12225","Albany","Albany","P.O. Box"
"12226","Albany","Albany","Standard"
"12227","Albany","Albany","Unique"
"12228","Albany","Albany","Unique"
"12229","Albany","Albany","Unique"
"12230","Albany","Albany","Unique"
"12231","Albany","Albany","Unique"
"12232","Albany","Albany","Unique"
"12233","Albany","Albany","Unique"
"12234","Albany","Albany","Unique"
"12235","Albany","Albany","Unique"
"12236","Albany","Albany","Unique"
"12237","Albany","Albany","Unique"
"12238","Albany","Albany","Unique"
"12239","Albany","Albany","Unique"
"12240","Albany","Albany","Unique"
"12241","Albany","Albany","Unique"
"12242","Albany","Albany","Unique"
"12243","Albany","Albany","Unique"
"12244","Albany","Albany","Unique"
"12245","Albany","Albany","Unique"
"12246","Albany","Albany","Unique"
"12247","Albany","Albany","Unique"
"12248","Albany","Albany","Unique"
"12249","Albany","Albany","Unique"
"12250","Albany","Albany","Unique"
"12255","Albany","Albany","Unique"
"12257","Albany","Albany","Unique"
"12260","Albany","Albany","Standard"
"12261","Albany","Albany","Unique"
"12288","Albany","Albany","Unique"
"12301","Schenectady","Schenectady","P.O. Box"
"12302","Schenectady","Schenectady","Standard"
"12303","Schenectady","Schenectady","Standard"
"12304","Schenectady","Schenectady","Standard"
"12305","Schenectady","Schenectady","Standard"
"12306","Schenectady","Schenectady","Standard"
"12307","Schenectady","Schenectady","Standard"
"12308","Schenectady","Schenectady","Standard"
"12309","Schenectady","Schenectady","Standard"
"12325","Schenectady","Schenectady","P.O. Box"
"12345","Schenectady","Schenectady","Unique"
"12401","Kingston","Ulster","Standard"
"12402","Kingston","Ulster","P.O. Box"
"12404","Accord","Ulster","Standard"
"12405","Acra","Greene","Standard"
"12406","Arkville","Delaware","Standard"
"12407","Ashland","Greene","Standard"
"12409","Bearsville","Ulster","Standard"
"12410","Big Indian","Ulster","Standard"
"12411","Bloomington","Ulster","Standard"
"12412","Boiceville","Ulster","Standard"
"12413","Cairo","Greene","Standard"
"12414","Catskill","Greene","Standard"
"12416","Chichester","Ulster","Standard"
"12417","Connelly","Ulster","P.O. Box"
"12418","Cornwallville","Greene","Standard"
"12419","Cottekill","Ulster","Standard"
"12420","Cragsmoor","Ulster","P.O. Box"
"12421","Denver","Delaware","Standard"
"12422","Durham","Greene","Standard"
"12423","East Durham","Greene","Standard"
"12424","East Jewett","Greene","Standard"
"12427","Elka Park","Greene","Standard"
"12428","Ellenville","Ulster","Standard"
"12429","Esopus","Ulster","P.O. Box"
"12430","Fleischmanns","Delaware","Standard"
"12431","Freehold","Greene","Standard"
"12432","Glasco","Ulster","P.O. Box"
"12433","Glenford","Ulster","Standard"
"12434","Grand Gorge","Delaware","Standard"
"12435","Greenfield Park","Ulster","Standard"
"12436","Haines Falls","Greene","P.O. Box"
"12438","Halcottsville","Delaware","P.O. Box"
"12439","Hensonville","Greene","Standard"
"12440","High Falls","Ulster","Standard"
